DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/2017,4:33,BRONX,10467,40.883144,-73.88373,"(40.883144, -73.88373)",,,50        WEST GUN HILL ROAD,3,0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,,,,3780748,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,4:33,BRONX,10467,40.883144,-73.88373,"(40.883144, -73.88373)",,,50        WEST GUN HILL ROAD,3,0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,,,,3780748,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,4:45,,,40.73907,-73.84753,"(40.73907, -73.84753)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3780324,PASSENGER VEHICLE,,,,
10/31/2017,5:17,,,40.866802,-73.88444,"(40.866802, -73.88444)",WEBSTER AVENUE,,,2,0,0,0,0,0,2,0,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,3780707,TAXI,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
10/31/2017,5:17,,,40.866802,-73.88444,"(40.866802, -73.88444)",WEBSTER AVENUE,,,2,0,0,0,0,0,2,0,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,3780707,TAXI,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
10/31/2017,5:22,BRONX,10462,40.846237,-73.861206,"(40.846237, -73.861206)",,,844       MORRIS PARK AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780448,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,5:30,,,40.675507,-74.00075,"(40.675507, -74.00075)",,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780802,DS,SPORT UTILITY / STATION WAGON,,,
10/31/2017,5:38,,,40.744667,-73.971146,"(40.744667, -73.971146)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781229,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,5:40,MANHATTAN,10036,40.75898,-73.99595,"(40.75898, -73.99595)",WEST 41 STREET,10 AVENUE,,0,0,0,0,0,0,0,0,Lane Marking Improper/Inadequate,Lane Marking Improper/Inadequate,,,,3781175,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,5:50,BROOKLYN,11231,40.673203,-74.01056,"(40.673203, -74.01056)",OTSEGO STREET,SIGOURNEY STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3781799,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
