,Cell,CompType,Count
387,2525,Animal Abuse,1
388,2526,Animal Abuse,1
389,2619,Animal Abuse,27
390,2620,Animal Abuse,20
391,2621,Animal Abuse,22
392,2622,Animal Abuse,15
393,2623,Animal Abuse,1
394,2718,Animal Abuse,1
395,2719,Animal Abuse,14
396,2720,Animal Abuse,20
397,2721,Animal Abuse,33
398,2722,Animal Abuse,19
399,2723,Animal Abuse,3
400,2818,Animal Abuse,1
401,2819,Animal Abuse,17
402,2820,Animal Abuse,1
403,2821,Animal Abuse,7
404,2822,Animal Abuse,12
405,2823,Animal Abuse,7
406,2919,Animal Abuse,5
407,2921,Animal Abuse,2
408,2922,Animal Abuse,13
409,0,Animal Facility - No Permit,1
410,101,Animal Facility - No Permit,1
411,404,Animal Facility - No Permit,1
412,406,Animal Facility - No Permit,1
413,508,Animal Facility - No Permit,1
414,603,Animal Facility - No Permit,1
415,713,Animal Facility - No Permit,1
416,716,Animal Facility - No Permit,1
417,807,Animal Facility - No Permit,2
418,810,Animal Facility - No Permit,1
419,817,Animal Facility - No Permit,3
420,905,Animal Facility - No Permit,1
421,906,Animal Facility - No Permit,1
422,908,Animal Facility - No Permit,1
423,913,Animal Facility - No Permit,4
424,914,Animal Facility - No Permit,3
425,1006,Animal Facility - No Permit,1
426,1016,Animal Facility - No Permit,2
427,1116,Animal Facility - No Permit,1
428,1226,Animal Facility - No Permit,1
429,1318,Animal Facility - No Permit,1
430,1425,Animal Facility - No Permit,1
431,1513,Animal Facility - No Permit,1
432,1516,Animal Facility - No Permit,1
433,1614,Animal Facility - No Permit,1
434,1616,Animal Facility - No Permit,1
435,1714,Animal Facility - No Permit,1
436,1726,Animal Facility - No Permit,2
437,1820,Animal Facility - No Permit,2
438,1916,Animal Facility - No Permit,1
439,1918,Animal Facility - No Permit,3
440,1923,Animal Facility - No Permit,1
441,2015,Animal Facility - No Permit,3
442,2017,Animal Facility - No Permit,2
443,2117,Animal Facility - No Permit,2
444,2316,Animal Facility - No Permit,1
445,2319,Animal Facility - No Permit,1
446,2321,Animal Facility - No Permit,1
447,2421,Animal Facility - No Permit,1
448,2623,Animal Facility - No Permit,1
449,2824,Animal Facility - No Permit,1
450,1,Animal in a Park,1
451,103,Animal in a Park,3
452,200,Animal in a Park,1
453,205,Animal in a Park,1
454,302,Animal in a Park,1
455,303,Animal in a Park,3
456,304,Animal in a Park,1
457,406,Animal in a Park,1
458,407,Animal in a Park,2
459,408,Animal in a Park,2
460,505,Animal in a Park,2
461,515,Animal in a Park,1
462,516,Animal in a Park,1
463,523,Animal in a Park,1
464,604,Animal in a Park,1
465,616,Animal in a Park,2
466,708,Animal in a Park,1
467,709,Animal in a Park,2
468,710,Animal in a Park,2
469,714,Animal in a Park,3
470,715,Animal in a Park,1
471,716,Animal in a Park,1
472,717,Animal in a Park,2
473,805,Animal in a Park,1
474,808,Animal in a Park,1
475,813,Animal in a Park,1
476,815,Animal in a Park,1
477,909,Animal in a Park,1
478,912,Animal in a Park,1
479,913,Animal in a Park,1
480,916,Animal in a Park,1
481,1007,Animal in a Park,3
482,1008,Animal in a Park,1
483,1009,Animal in a Park,2
484,1012,Animal in a Park,6
485,1015,Animal in a Park,1
486,1017,Animal in a Park,2
487,1020,Animal in a Park,1
488,1023,Animal in a Park,1
489,1115,Animal in a Park,8
490,1116,Animal in a Park,2
491,1118,Animal in a Park,1
492,1119,Animal in a Park,1
493,1122,Animal in a Park,1
494,1214,Animal in a Park,2
495,1215,Animal in a Park,5
496,1216,Animal in a Park,4
497,1219,Animal in a Park,1
498,1220,Animal in a Park,3
499,1222,Animal in a Park,1
500,1223,Animal in a Park,1
501,1224,Animal in a Park,1
502,1225,Animal in a Park,1
503,1226,Animal in a Park,2
504,1313,Animal in a Park,1
505,1314,Animal in a Park,2
506,1315,Animal in a Park,3
507,1317,Animal in a Park,1
508,1319,Animal in a Park,2
509,1323,Animal in a Park,1
510,1325,Animal in a Park,1
511,1413,Animal in a Park,4
512,1414,Animal in a Park,3
513,1416,Animal in a Park,2
514,1417,Animal in a Park,2
515,1418,Animal in a Park,1
516,1422,Animal in a Park,3
517,1424,Animal in a Park,1
518,1426,Animal in a Park,2
519,1513,Animal in a Park,5
520,1514,Animal in a Park,3
521,1515,Animal in a Park,3
522,1516,Animal in a Park,3
523,1517,Animal in a Park,1
524,1519,Animal in a Park,2
525,1520,Animal in a Park,1
526,1522,Animal in a Park,1
527,1525,Animal in a Park,2
528,1613,Animal in a Park,1
529,1614,Animal in a Park,8
530,1615,Animal in a Park,3
531,1616,Animal in a Park,16
532,1617,Animal in a Park,1
533,1619,Animal in a Park,3
534,1621,Animal in a Park,1
535,1622,Animal in a Park,2
536,1714,Animal in a Park,2
537,1715,Animal in a Park,3
538,1716,Animal in a Park,4
539,1720,Animal in a Park,4
540,1722,Animal in a Park,2
541,1726,Animal in a Park,1
542,1727,Animal in a Park,1
543,1815,Animal in a Park,1
544,1816,Animal in a Park,2
545,1818,Animal in a Park,4
546,1820,Animal in a Park,1
547,1823,Animal in a Park,1
548,1824,Animal in a Park,1
549,1825,Animal in a Park,2
550,1827,Animal in a Park,1
551,1828,Animal in a Park,1
552,1829,Animal in a Park,1
553,1830,Animal in a Park,1
554,1914,Animal in a Park,2
555,1915,Animal in a Park,1
556,1916,Animal in a Park,2
557,1917,Animal in a Park,2
558,1918,Animal in a Park,1
559,1919,Animal in a Park,1
560,1920,Animal in a Park,1
561,1921,Animal in a Park,2
562,1926,Animal in a Park,2
563,1927,Animal in a Park,1
564,2014,Animal in a Park,3
565,2015,Animal in a Park,6
566,2016,Animal in a Park,11
567,2017,Animal in a Park,2
