zip_code,residential_units,land_sq_feet,gross_sq_feet,year_built,sale_price,sale_date
11204,2,2000,1575,1950,575000,2007-02-26
11204,2,4000,2808,1925,865000,2012-10-25
11204,2,2504,2680,1925,850000,2011-05-24
11204,1,2000,2224,1930,625000,2008-07-16
11204,2,1150,1760,1930,320000,2003-11-03
11204,2,2798,1440,1915,512000,2004-05-01
11204,2,1200,1760,1940,600000,2005-02-15
11204,3,2000,3400,1965,655000,2004-04-15
11204,1,1750,1110,1930,385000,2003-11-19
11204,4,2533,3213,1931,944000,2005-01-18
11204,1,2404,1440,1925,950000,2009-02-25
11204,2,1700,2285,1925,555200,2010-05-01
11204,4,2500,3212,1931,920000,2010-10-07
11204,1,3005,3200,1925,838500,2003-05-29
11204,2,2000,2560,1930,910000,2012-04-09
11204,2,1950,2842,1955,235000,2009-01-23
11204,2,1304,1040,1899,494700,2007-04-16
11204,2,2500,3680,1925,985000,2010-11-12
11204,1,2513,3880,1925,700500,2007-02-26
11204,2,3000,2000,1920,728000,2010-09-23
11204,2,2000,2970,1960,775000,2005-11-28
11204,2,2500,2640,1930,935000,2007-11-21
11204,2,2500,2440,1930,860000,2008-10-29
11204,2,4000,2604,1930,854500,2007-03-30
11204,4,2496,3280,1931,875000,2004-09-28
11204,4,2500,3116,1931,785000,2004-08-04
11204,2,2500,2480,1925,550000,2003-12-15
11204,3,1150,2640,1930,690000,2007-09-27
11204,2,1640,1782,1935,778000,2012-06-07
11204,3,2504,3600,1925,655550,2003-01-16
11204,2,3000,1892,1925,640000,2007-01-16
11204,2,3000,1612,1920,845000,2012-12-28
11204,3,2003,3960,1935,785000,2009-07-16
11204,1,4708,1750,1925,900000,2006-08-16
11204,2,2500,2480,1930,620000,2003-08-22
11204,2,1438,1800,1925,550000,2004-03-02
11204,2,2400,2400,1930,530000,2003-06-27
11204,1,1800,1568,1920,390000,2003-01-30
11204,2,1750,1575,1935,493000,2007-12-21
11204,3,2000,3072,1910,760000,2010-09-08
11204,1,1320,1440,1950,115000,2011-10-13
11204,2,2667,1330,1920,642500,2007-08-09
11204,2,2650,2360,1930,850000,2012-06-19
11204,1,1700,1478,1925,615000,2011-03-28
11204,3,3005,3640,1955,800000,2012-03-06
11204,2,2500,1696,1940,650000,2010-08-23
11204,2,2000,1888,1925,505000,2003-07-29
11204,2,2283,2700,1930,585000,2006-05-30
11204,2,1833,1611,1930,580000,2004-12-03
11204,1,1603,1024,1920,600000,2012-06-22
11204,6,1980,4824,1931,925000,2007-01-24
11204,3,1817,2000,1920,300000,2012-10-17
11204,2,3000,1920,1930,500000,2005-03-10
11204,3,2792,4554,1930,949000,2008-11-20
11204,2,3750,2304,1925,768000,2006-10-27
11204,1,2003,1424,1925,650000,2009-02-25
11204,6,2304,4968,1931,499797,2007-03-15
11204,3,2650,3315,1935,825000,2006-10-27
11204,2,2400,2612,1925,458000,2004-09-01
11204,2,2500,2664,1925,940000,2007-03-07
11204,2,2003,2344,1925,445000,2010-10-28
11204,3,2017,2600,1910,890000,2006-07-18
11204,1,2204,2408,1925,640000,2006-05-15
11204,1,2003,6800,1901,587500,2003-07-22
11204,2,2742,1944,1920,480000,2003-11-25
11204,2,2000,3392,1901,670000,2011-07-18
11204,2,4007,1811,1920,530000,2009-08-04
11204,2,3000,3047,1920,391698,2004-05-14
11204,4,3005,2480,1931,300000,2009-11-09
11204,3,2500,3250,1925,850000,2008-02-19
11204,1,2003,1430,1925,565000,2010-10-14
11204,2,2000,2520,1925,615000,2006-09-27
11204,2,2000,1500,1920,570000,2005-11-22
11204,1,2003,4200,1910,750000,2006-09-07
11204,2,1026,1836,1940,650000,2006-04-06
11204,2,3000,1920,1930,725000,2010-10-06
11204,2,2003,2208,1925,244000,2004-12-29
11204,3,2850,2992,1920,833000,2006-02-23
11204,1,1987,2190,1899,470000,2003-02-27
11204,3,1333,2448,1935,729700,2009-03-26
11204,4,2700,3600,1927,887500,2006-02-27
11204,2,2000,2224,1935,650000,2007-10-18
11204,1,1600,1030,1920,488000,2005-06-23
11204,2,2500,3060,1925,750000,2010-02-23
11204,1,3750,2490,1925,750000,2009-11-19
11204,1,1603,1104,1930,850000,2012-09-20
11204,2,2579,2680,1910,925500,2006-10-19
11204,2,3000,1620,1920,750000,2004-12-02
11204,2,2500,2480,1925,710000,2004-03-05
11204,2,2500,1962,1910,305000,2011-10-04
11204,4,2650,3520,1931,620000,2003-05-09
11204,2,2938,2835,1950,925000,2010-02-03
11204,2,2805,2424,1925,490000,2004-04-15
11204,2,2500,3720,1930,780000,2006-03-01
11204,1,2003,2894,1925,600000,2005-02-15
11204,6,2750,5400,1927,875000,2012-12-20
11204,2,1700,2490,1910,530000,2004-11-23
11204,4,2500,3026,1924,810000,2012-08-24
11204,1,2000,1440,1920,665000,2006-08-15
11204,1,2300,1566,1915,430000,2007-02-08
11204,2,2400,1954,1915,700000,2011-07-28
11204,4,2158,3280,1931,535000,2003-04-09
11204,3,2900,2560,1930,639998,2003-05-20
11204,2,2492,3720,1920,525000,2003-05-27
11204,3,2500,4500,1930,710000,2012-11-08
11204,3,1800,3280,1960,650000,2008-02-20
11204,3,2925,4086,1920,121250,2005-02-16
11204,2,1983,1376,1930,175000,2004-02-12
11204,1,2000,2080,1925,365000,2003-03-01
11204,1,2003,1792,1925,705000,2007-10-16
11204,2,2500,3100,1930,800000,2007-09-07
11204,3,4007,4685,2008,726000,2004-08-09
11204,3,2358,2546,1930,720000,2006-03-01
11204,2,2400,2360,1930,650000,2009-07-23
11204,2,2700,3720,1930,925000,2009-07-28
11204,2,2000,2460,1940,650000,2004-06-07
11204,2,3000,2208,1930,430000,2003-09-09
11204,3,2454,3720,1925,840000,2008-11-18
11204,4,3050,3520,1931,950000,2006-03-24
11204,5,3000,5400,1926,950000,2007-01-29
11204,3,2525,4284,1930,735000,2004-05-03
11204,1,2000,1344,1935,585000,2005-01-24
11204,2,2554,4020,1910,995000,2007-03-01
11204,1,1603,1112,1930,500000,2011-02-08
11204,1,2003,1360,1920,742000,2012-06-06
11204,2,2322,2069,1945,249000,2004-10-15
11204,2,2003,2176,1925,262000,2012-02-28
11204,3,3000,4290,2002,720000,2003-06-06
11204,1,2104,1020,1920,360000,2003-01-23
11204,1,1179,1305,1930,528000,2007-06-28
11204,4,2667,3198,1925,499900,2005-03-22
11204,2,2554,2400,1925,380000,2003-01-14
11204,1,1708,1356,1920,570000,2005-08-12
11204,3,2758,3049,1970,350000,2005-04-15
11204,3,2000,3324,1930,590000,2004-11-05
11204,4,2604,3280,1928,750000,2009-09-01
11204,3,2200,3206,1950,810000,2006-05-17
11204,1,1603,1204,1930,450000,2009-02-26
11204,1,1603,1024,1925,475000,2011-06-15
11204,1,1878,1404,1940,740000,2007-08-06
11204,4,2500,3200,1924,800000,2007-09-05
11204,2,2000,1664,1930,650000,2006-08-17
11204,1,3000,1462,1930,805000,2010-09-17
11204,2,1650,1296,1930,583000,2006-01-17
11204,2,2800,1752,1920,851200,2011-10-03
11204,2,2513,3216,1930,660000,2003-08-12
11204,3,2475,3300,1920,625000,2004-05-14
11204,1,2783,1530,1920,875000,2005-09-19
11204,1,1853,1512,1925,600000,2007-12-11
11204,1,1603,1024,1930,500000,2010-03-04
11204,2,2858,2248,1930,660000,2003-10-09
11204,2,1745,2589,1955,720000,2006-08-23
11204,2,1850,2424,1901,690000,2010-11-17
11204,1,2800,1592,1920,656000,2007-08-17
11204,1,2204,2408,1925,750500,2006-08-16
11204,1,1750,1020,1910,440000,2012-07-20
11204,4,2875,3470,1931,600000,2008-09-11
11204,2,2400,3900,1920,700000,2010-11-05
11204,1,3500,4490,1920,450000,2003-08-28
11204,3,2850,2992,1920,815000,2005-10-17
11204,3,2625,3084,1930,800000,2009-07-09
11204,1,2092,1376,1930,645000,2005-07-21
11204,2,1700,2354,1910,600000,2008-07-01
11204,2,3005,2133,1925,770000,2006-02-16
11204,1,2504,4180,1935,635000,2005-09-13
11204,2,2325,2088,1925,665000,2004-11-15
11204,3,2500,3400,1930,300000,2009-12-10
11204,2,3000,1592,1920,840000,2010-09-08
11204,2,1803,1952,1920,480000,2003-07-02
11204,1,2204,3912,1925,540000,2003-06-10
11204,2,4407,3112,1925,997000,2013-01-01
11204,1,2475,1388,1960,535000,2010-11-08
11204,3,3000,3360,1925,860000,2006-09-27
11204,2,2400,2680,1920,820000,2008-05-01
11204,2,1983,1376,1930,572400,2005-05-10
11204,4,2500,3026,1924,870000,2009-11-18
11204,4,2500,2706,1926,840000,2006-05-25
11204,3,2800,4224,1930,674500,2011-09-13
11204,2,2467,2592,1920,700000,2004-10-28
11204,1,2805,2810,1920,950000,2007-11-01
11204,1,2003,1132,1925,315000,2010-02-24
11204,2,2650,2480,1930,750000,2007-01-03
11204,2,1440,1732,1940,535000,2008-06-25
11204,2,1800,2412,1905,620000,2010-07-09
11204,3,2525,3240,1940,680000,2010-12-22
11204,3,2425,3660,1920,810000,2012-01-30
11204,2,2003,2750,1925,745000,2010-06-28
11204,2,1650,1925,1940,405600,2004-04-01
11204,2,4000,4005,1910,840000,2005-08-04
11204,1,2000,1184,1920,395000,2003-02-24
11204,2,1700,1244,1915,400000,2006-11-14
11204,2,3000,1612,1920,775000,2005-12-22
11204,1,2003,1604,1920,555000,2009-11-25
11204,2,2650,2360,1930,650000,2004-11-12
11204,6,1980,4824,1931,620000,2004-08-03
11204,4,2800,3350,1925,760000,2005-01-28
11204,2,2454,2800,1930,990000,2011-11-11
11204,1,1667,1408,1920,538000,2008-03-03
11204,6,3005,5400,1931,999800,2007-11-26
11204,1,1978,1088,1920,600000,2004-12-08
11204,3,3000,3360,1925,450000,2011-05-20
11204,1,2763,2785,1925,505000,2012-06-04
11204,2,2003,2920,1920,568000,2003-02-21
11204,2,1803,1852,1940,486500,2003-04-03
11204,3,1950,3648,1910,825000,2011-06-29
11204,3,3339,2769,1910,900000,2012-05-23
11204,2,2500,3580,1915,815000,2008-03-25
11204,2,2000,2016,1925,510000,2007-11-06
11204,2,1438,2460,1935,460000,2005-02-07
11204,1,1600,1400,1920,150000,2003-03-24
11204,2,2075,2720,1930,560000,2005-08-05
11204,2,2400,2044,1930,688000,2010-06-21
11204,3,2003,2576,1935,750000,2012-01-25
11204,2,3500,1784,1930,698000,2008-10-09
11204,2,1873,2560,1950,619000,2004-02-18
11204,2,2600,2255,1940,438000,2003-02-11
11204,4,2542,3080,1924,850000,2008-09-16
11204,2,2500,2370,1920,270000,2003-04-02
11204,1,2404,2344,1925,650000,2011-04-14
11204,6,3000,5400,1925,995000,2012-04-20
11204,1,3510,1582,1910,900000,2012-11-29
11204,3,2250,3162,1930,875000,2011-04-11
11204,2,2500,3100,1930,235000,2012-05-01
11204,2,2500,2320,1925,649000,2004-01-15
11204,1,1850,2424,1901,530000,2011-10-26
11204,2,1750,1020,1910,568000,2010-09-17
11204,1,2000,1130,1925,480000,2006-05-03
11204,2,3283,5460,1930,349479,2012-01-05
11204,1,1440,1732,1940,530000,2006-11-10
11204,1,1440,1732,1940,600000,2011-08-03
11204,2,2400,2066,1930,770000,2006-01-17
11204,3,4007,6930,2008,900000,2005-03-07
11204,2,1760,2016,1935,430000,2003-06-11
11204,2,2450,1042,1920,763800,2009-05-21
11204,2,3005,3620,1925,875000,2010-06-10
11204,2,2000,2016,1925,630000,2008-04-17
11204,2,2000,3822,1905,625000,2006-10-24
11204,3,2000,2375,1935,704000,2008-09-08
11204,2,2052,2835,1920,597000,2012-03-28
11204,2,2504,1666,1925,660000,2012-08-08
11204,2,1833,2372,1930,575000,2006-12-13
11204,3,2000,2340,1915,310000,2011-04-14
11204,1,1750,1020,1910,500000,2009-04-01
11204,2,1800,2352,1925,220000,2011-12-23
11204,2,2000,2200,1930,610000,2007-10-10
11204,3,3000,2584,1930,820000,2006-06-27
11204,1,2400,1720,1915,480000,2003-09-29
11204,3,2354,3990,1925,873000,2012-02-14
11204,3,2003,2520,1910,660000,2004-04-15
11204,2,2003,2240,1930,510000,2004-09-07
11204,1,2000,1344,1915,250000,2006-07-06
11204,4,2500,3198,1931,860000,2012-08-01
11204,2,2000,2484,1910,550000,2004-03-12
11204,2,4007,6700,2004,995000,2012-10-18
11204,4,2521,3280,1931,498000,2008-05-09
11204,1,1983,1376,1930,530000,2005-05-03
11204,2,3213,2498,1920,850500,2005-05-05
11204,2,2467,3960,1930,999000,2012-02-15
11204,1,2003,1944,1910,375000,2010-02-19
11204,2,2425,3352,1930,595000,2005-08-18
11204,4,2800,3510,1931,660000,2012-12-26
11204,3,2454,3720,1925,895000,2009-10-20
11204,2,2400,2400,1930,905000,2012-03-14
11204,2,3506,2088,1925,999000,2006-05-03
11204,2,3339,7908,2004,500000,2003-11-03
11204,4,3005,3690,1931,999500,2011-06-23
11204,2,2400,2312,1930,200000,2004-08-20
11204,2,1803,1919,1935,610000,2008-02-04
11204,2,2500,3100,1930,670000,2004-08-27
11204,1,2003,2136,1930,297000,2010-02-02
11204,2,4007,9000,2006,400000,2006-09-22
11204,1,1800,1472,1920,625000,2005-09-15
11204,2,2475,1740,1960,685000,2006-06-01
11204,3,4000,2026,1920,705000,2004-09-13
11204,1,1603,1024,1930,456000,2010-09-20
11204,6,2500,5625,1931,830000,2005-09-12
11204,1,4007,1520,1925,355000,2007-01-09
11204,2,3100,3036,1925,137700,2004-09-24
11204,2,2000,2766,1950,801000,2006-09-12
11204,2,1683,2285,1925,570000,2012-06-26
11204,2,2000,1759,1950,680000,2012-12-26
11204,1,3300,2182,1925,700000,2011-03-21
11204,2,2102,2865,1930,120000,2003-10-15
11204,1,1983,1376,1930,578000,2011-10-11
11204,1,1983,1376,1930,585000,2007-09-10
11204,2,1600,2460,1920,530000,2003-11-07
11204,1,1853,1512,1925,725000,2008-07-09
11204,1,2500,1400,1920,560000,2010-01-25
11204,2,2425,3352,1930,675000,2009-07-28
11204,2,3000,2240,1925,387500,2005-12-01
11204,1,2300,1600,1915,500000,2012-02-02
11204,3,2375,3195,1935,960000,2011-09-08
11204,1,2300,2440,1915,532000,2011-09-06
11204,1,1480,1866,1965,667800,2008-05-23
11204,2,1438,1680,1935,455000,2003-05-23
11204,1,3005,4800,1930,995500,2005-05-27
11204,2,2000,2661,1940,485000,2003-04-21
11204,2,2333,2328,1920,539000,2004-10-29
11204,2,2705,2856,1920,995000,2008-11-05
11204,2,2003,1704,1910,115353,2004-11-23
11204,3,2120,2160,1930,875000,2004-02-23
11204,2,2504,3780,1931,662500,2007-10-11
11204,2,2500,2480,1930,300000,2012-02-06
11204,2,2500,2480,1930,827000,2007-10-15
11204,1,1603,1024,1920,370000,2004-01-15
11204,4,2700,3600,1925,835000,2005-09-28
11204,2,2500,2400,1930,525000,2003-07-15
11204,1,2000,1440,1920,770000,2007-08-01
11204,2,2492,2480,1920,635000,2004-12-27
11204,3,2000,4280,2002,549855,2003-03-04
11204,4,2571,3280,1931,999000,2010-09-21
11204,1,2000,1430,1930,470000,2007-10-09
11204,1,2510,1284,1920,570000,2010-03-10
11204,3,2796,3080,1925,900000,2008-05-30
11204,1,1603,1104,1930,610000,2006-06-28
